PartnerID,SoortPartnerID,PartnerContactID,LeveringID,Bedrijfsnaam,Straatnaam,Huisnummer,Postcode,Plaats,Land,Email,Telnr
1,2,1,14,Bedrijf_1,Straat_1,20,1409AB,Rotterdam,Nederland,info@bedrijf1.nl,649975345
2,1,2,19,Bedrijf_2,Straat_2,50,6482AB,Rotterdam,Nederland,info@bedrijf2.nl,642003751
3,2,3,9,Bedrijf_3,Straat_3,5,7784AB,Rotterdam,Nederland,info@bedrijf3.nl,636882571
4,1,4,29,Bedrijf_4,Straat_4,56,4782AB,Amsterdam,Nederland,info@bedrijf4.nl,646213057
5,2,5,19,Bedrijf_5,Straat_5,55,7329AB,Amsterdam,Nederland,info@bedrijf5.nl,660169070
6,1,6,4,Bedrijf_6,Straat_6,30,2201AB,Rotterdam,Nederland,info@bedrijf6.nl,669089818
7,1,7,15,Bedrijf_7,Straat_7,46,6351AB,Rotterdam,Nederland,info@bedrijf7.nl,651115712
8,3,8,3,Bedrijf_8,Straat_8,32,4596AB,Groningen,Nederland,info@bedrijf8.nl,667761613
9,1,9,28,Bedrijf_9,Straat_9,70,9816AB,Utrecht,Nederland,info@bedrijf9.nl,631244214
10,1,10,18,Bedrijf_10,Straat_10,9,7733AB,Utrecht,Nederland,info@bedrijf10.nl,695541670
11,3,11,23,Bedrijf_11,Straat_11,80,5366AB,Eindhoven,Nederland,info@bedrijf11.nl,612731756
12,3,12,30,Bedrijf_12,Straat_12,80,6396AB,Amsterdam,Nederland,info@bedrijf12.nl,614268138
13,1,13,8,Bedrijf_13,Straat_13,37,6023AB,Utrecht,Nederland,info@bedrijf13.nl,687896977
14,2,14,19,Bedrijf_14,Straat_14,100,5278AB,Rotterdam,Nederland,info@bedrijf14.nl,628192829
15,3,15,12,Bedrijf_15,Straat_15,6,5703AB,Amsterdam,Nederland,info@bedrijf15.nl,639088362
16,3,16,6,Bedrijf_16,Straat_16,90,8469AB,Amsterdam,Nederland,info@bedrijf16.nl,611679134
17,1,17,25,Bedrijf_17,Straat_17,80,8877AB,Rotterdam,Nederland,info@bedrijf17.nl,632307928
18,1,18,17,Bedrijf_18,Straat_18,70,4696AB,Groningen,Nederland,info@bedrijf18.nl,627312689
19,1,19,24,Bedrijf_19,Straat_19,26,9255AB,Amsterdam,Nederland,info@bedrijf19.nl,693070675
20,1,20,10,Bedrijf_20,Straat_20,47,8315AB,Eindhoven,Nederland,info@bedrijf20.nl,619076038
21,3,21,21,Bedrijf_21,Straat_21,2,2546AB,Utrecht,Nederland,info@bedrijf21.nl,626021829
22,3,22,13,Bedrijf_22,Straat_22,25,4026AB,Utrecht,Nederland,info@bedrijf22.nl,633280798
23,2,23,13,Bedrijf_23,Straat_23,29,2342AB,Amsterdam,Nederland,info@bedrijf23.nl,635791066
24,2,24,8,Bedrijf_24,Straat_24,64,9744AB,Amsterdam,Nederland,info@bedrijf24.nl,682465300
25,1,25,16,Bedrijf_25,Straat_25,6,1033AB,Eindhoven,Nederland,info@bedrijf25.nl,668910806
26,3,26,28,Bedrijf_26,Straat_26,87,9119AB,Amsterdam,Nederland,info@bedrijf26.nl,619956112
27,1,27,5,Bedrijf_27,Straat_27,28,6613AB,Amsterdam,Nederland,info@bedrijf27.nl,677435484
28,3,28,15,Bedrijf_28,Straat_28,48,6201AB,Groningen,Nederland,info@bedrijf28.nl,654829807
29,2,29,20,Bedrijf_29,Straat_29,4,5777AB,Amsterdam,Nederland,info@bedrijf29.nl,642652270
30,2,30,12,Bedrijf_30,Straat_30,50,2067AB,Eindhoven,Nederland,info@bedrijf30.nl,620810206
